,img,time_bomb2_nice,time_bomb1_nice,time_bomb1,time,time_bomb2
0,031940_3M53.JPG,0.06355595588684082,0.007517814636230469,0.0009551048278808594,0.0008912086486816406,0.06356287002563478
1,027529_01M62.JPG,0.05171704292297363,0.0008401870727539062,0.00083160400390625,0.0008273124694824219,0.04373788833618164
2,035285_2M53.JPG,0.031744956970214844,0.0008342266082763673,0.0008256435394287108,0.000812530517578125,0.04374408721923828
3,034280_00M56.JPG,0.027884244918823242,0.0007960796356201173,0.0008265972137451173,0.0008184909820556642,0.023873567581176758
4,035735_04M58.JPG,0.02389383316040039,0.0008089542388916017,0.0008461475372314452,0.0007970333099365233,0.023895263671875
5,034913_1M54.JPG,0.023894548416137695,0.0007917881011962892,0.0008089542388916017,0.0007786750793457031,0.027894258499145508
6,035285_0M52.JPG,0.0238950252532959,0.0007946491241455077,0.0007865428924560548,0.0007789134979248048,0.02788782119750977
7,035838_4M53.JPG,0.023887157440185547,0.0007951259613037108,0.0007894039154052733,0.0007753372192382812,0.019899606704711914
8,031494_0M56.JPG,0.023904800415039062,0.0007898807525634767,0.0007872581481933594,0.0007803440093994142,0.027897119522094727
9,037372_0M51.JPG,0.027890682220458984,0.0007991790771484375,0.000782012939453125,0.0007758140563964844,0.03189992904663086
10,022066_01M64.JPG,0.03187823295593262,0.0007936954498291017,0.000782012939453125,0.00077056884765625,0.0008177757263183594
11,029417_0M56.JPG,0.015906572341918945,0.0007956027984619142,0.0007784366607666017,0.0007686614990234375,0.0007998943328857423
12,022066_02M64.JPG,0.02389430999755859,0.0007915496826171875,0.0008094310760498048,0.0007765293121337892,0.0007846355438232423
13,030316_0M58.JPG,0.031897783279418945,0.0008065700531005858,0.0007846355438232423,0.0007750988006591798,0.0007874965667724608
14,035838_13M53.JPG,0.015889883041381836,0.0007958412170410156,0.0007791519165039062,0.0007739067077636719,0.10828447341918944
15,028302_2M65.JPG,0.019901275634765625,0.0007874965667724608,0.0007810592651367188,0.0007741451263427733,0.027877330780029297
16,035483_1M54.JPG,0.02390050888061523,0.0007929801940917969,0.0007925033569335938,0.0007760524749755858,0.03187870979309082
17,030067_00M58.JPG,0.011694669723510742,0.0007898807525634767,0.00078582763671875,0.0007719993591308594,0.01589345932006836
18,027017_1M58.JPG,0.02392268180847168,0.00080108642578125,0.0007793903350830077,0.0007774829864501952,0.027882814407348633
19,033822_4M61.JPG,0.023884057998657227,0.0007977485656738281,0.0007882118225097656,0.0007700920104980469,0.023886442184448242
20,035625_11M52.JPG,0.023891925811767575,0.0007841587066650392,0.0007865428924560548,0.0007703304290771483,0.02389216423034668
21,035282_0M56.JPG,0.02390122413635254,0.0007874965667724608,0.0007810592651367188,0.0007698535919189452,0.031859636306762695
22,035708_00M56.JPG,0.023894071578979492,0.0007879734039306642,0.0007843971252441406,0.0007767677307128906,0.01992344856262207
23,035537_00M54.JPG,0.0238950252532959,0.0007877349853515625,0.0007772445678710938,0.0007724761962890625,0.023900747299194336
24,034907_5M55.JPG,0.023899316787719727,0.0007908344268798827,0.0007786750793457031,0.0007698535919189452,0.02388954162597656
25,035504_1M52.JPG,0.023894071578979492,0.0007843971252441406,0.0007839202880859375,0.0007653236389160156,0.01990032196044922
