,Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),Workload(GOP),DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s),Response Time (ms)
ResNet50_100,subgraph_conv1,100,DPUCVDX8G_1:batch-1,2.117,2.124,2.147,6.985,3287.963,24.501,11810.707,242.955
SqueezeNet_100,subgraph_SqueezeNet__SqueezeNet_3041,100,DPUCVDX8G_1:batch-1,0.675,0.683,0.768,0.704,1031.113,3.257,4884.115,97.864
Age_100,subgraph_quant_block1_conv1,100,DPUCVDX8G_1:batch-1,8.338,8.348,8.364,29.518,3535.937,139.049,17056.243,871.031
Age_Bomb1_100,subgraph_quant_block1_conv1,100,DPUCVDX8G_1:batch-1,8.342,8.348,8.363,29.518,3535.959,139.049,17056.346,871.454
Age_Bomb2_100,subgraph_quant_block1_conv1,100,DPUCVDX8G_1:batch-1,19.615,39.794,71.318,29.518,741.77,139.049,3578.064,4072.023
Age_Bomb1_nice_100,subgraph_quant_block1_conv1,100,DPUCVDX8G_1:batch-1,8.338,8.346,8.365,29.518,3536.865,139.049,17060.719,871.141
Age_Bomb2_nice_100,subgraph_quant_block1_conv1,100,DPUCVDX8G_1:batch-1,19.587,38.986,59.373,29.518,757.144,139.049,3652.223,3951.778
ResNet50_Bomb2_100,subgraph_conv1,100,DPUCVDX8G_1:batch-1,2.133,33.914,75.224,6.985,205.951,24.501,739.797,3743.954
ResNet50_Bomb1_100,subgraph_conv1,100,DPUCVDX8G_1:batch-1,2.11,2.119,2.163,6.985,3296.669,24.501,11841.98,241.903
ResNet50_Bomb1_nice_100,subgraph_conv1,100,DPUCVDX8G_1:batch-1,2.113,2.121,2.163,6.985,3293.746,24.501,11831.481,240.917
ResNet50_Bomb2_nice_100,subgraph_conv1,100,DPUCVDX8G_1:batch-1,7.628,33.196,83.153,6.985,210.405,24.501,755.798,3395.97
SqueezeNet_Bomb1_100,subgraph_SqueezeNet__SqueezeNet_3041,100,DPUCVDX8G_1:batch-1,0.668,0.675,0.712,0.704,1043.214,3.257,4941.433,96.67
SqueezeNet_Bomb2_100,subgraph_SqueezeNet__SqueezeNet_3041,100,DPUCVDX8G_1:batch-1,3.208,33.685,87.178,0.704,20.9,3.257,99.0,3571.973
SqueezeNet_Bomb1_nice_100,subgraph_SqueezeNet__SqueezeNet_3041,100,DPUCVDX8G_1:batch-1,0.677,0.683,0.711,0.704,1030.887,3.257,4883.043,97.977
SqueezeNet_Bomb2_nice_100,subgraph_SqueezeNet__SqueezeNet_3041,100,DPUCVDX8G_1:batch-1,14.774,34.093,59.423,0.704,20.65,3.257,97.815,3567.976
