Profile Summary
Generated on: 2023-06-22 08:39:52
XRT build version: 0.0.0
Build version branch: N/A
Build version hash: N/A
Build version date: N/A
Target devices: N/A

DPU Summary
Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),Workload(GOP),DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s),
subgraph_SqueezeNet__SqueezeNet_3041,100,DPUCVDX8G_1:batch-1,0.677,0.683,0.711,0.704,1030.887,3.257,4883.043,
vart::TensorBuffer::copy_tensor_buffer,200,CPU,0.020,0.046,0.142,
xir::XrtCu::run,100,CPU,0.671,0.676,0.700,
runSqueezeNet,1,CPU,97.977,97.977,97.977,

