Profile Summary
Generated on: 2023-06-22 08:32:35
XRT build version: 0.0.0
Build version branch: N/A
Build version hash: N/A
Build version date: N/A
Target devices: N/A

DPU Summary
Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),Workload(GOP),DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s),
subgraph_conv1,100,DPUCVDX8G_1:batch-1,2.113,2.121,2.163,6.985,3293.746,24.501,11831.481,
vart::TensorBuffer::copy_tensor_buffer,200,CPU,0.020,0.044,0.143,
xir::XrtCu::run,100,CPU,2.107,2.114,2.153,
runResnet50,1,CPU,240.917,240.917,240.917,

