Profile Summary
Generated on: 2023-06-22 07:40:49
XRT build version: 0.0.0
Build version branch: N/A
Build version hash: N/A
Build version date: N/A
Target devices: N/A

DPU Summary
Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),Workload(GOP),DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s),
subgraph_quant_block1_conv1,100,DPUCVDX8G_1:batch-1,8.342,8.348,8.363,29.518,3535.959,139.049,17056.346,
vart::TensorBuffer::copy_tensor_buffer,200,CPU,0.019,0.047,0.126,
xir::XrtCu::run,100,CPU,8.335,8.340,8.352,
runDPU,1,CPU,871.454,871.454,871.454,

