Profile Summary
Generated on: 2023-06-22 06:10:16
XRT build version: 0.0.0
Build version branch: N/A
Build version hash: N/A
Build version date: N/A
Target devices: N/A

DPU Summary
Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),Workload(GOP),DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s),
subgraph_conv1,100,DPUCVDX8G_1:batch-1,2.117,2.124,2.147,6.985,3287.963,24.501,11810.707,
vart::TensorBuffer::copy_tensor_buffer,200,CPU,0.019,0.046,0.152,
xir::XrtCu::run,100,CPU,2.109,2.118,2.135,
runResnet50,1,CPU,242.955,242.955,242.955,

