Profile Summary
Generated on: 2023-06-22 08:33:19
XRT build version: 0.0.0
Build version branch: N/A
Build version hash: N/A
Build version date: N/A
Target devices: N/A

DPU Summary
Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),Workload(GOP),DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s),
subgraph_conv1,100,DPUCVDX8G_1:batch-1,2.133,33.914,75.224,6.985,205.951,24.501,739.797,
vart::TensorBuffer::copy_tensor_buffer,200,CPU,0.023,0.351,27.993,
xir::XrtCu::run,100,CPU,2.124,33.352,75.211,
runResnet50,1,CPU,3743.954,3743.954,3743.954,

