Profile Summary
Generated on: 2023-06-22 08:21:47
XRT build version: 0.0.0
Build version branch: N/A
Build version hash: N/A
Build version date: N/A
Target devices: N/A

DPU Summary
Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),Workload(GOP),DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s),
subgraph_quant_block1_conv1,100,DPUCVDX8G_1:batch-1,19.615,39.794,71.318,29.518,741.770,139.049,3578.064,
vart::TensorBuffer::copy_tensor_buffer,200,CPU,0.022,0.129,15.991,
xir::XrtCu::run,100,CPU,14.264,39.292,71.305,
runDPU,1,CPU,4072.023,4072.023,4072.023,

